species,amazonensis.ref,amazonensis.reservoir,braziliensis.ref,braziliensis.reservoir,enriettii.ref,enriettii.reservoir,guyanensis.ref,guyanensis.reservoir,lainsoni.ref,lainsoni.reservoir,lindenbergi.ref,lindenbergi.reservoir,mexicana.ref,mexicana.reservoir,naiffi.ref,naiffi.reservoir,panamensis.ref,panamensis.reservoir,peruviana.ref,peruviana.reservoir,shawi.ref,shawi.reservoir,venezuelensis.ref,venezuelensis.reservoir,colombiensis.ref,colombiensis.reservoir,infantum.ref,infantum.reservoir
Peromyscus maniculatus,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Peromyscus mexicanus,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Peromyscus yucatanicus,,,,,,,,,,,,,https://doi.org/10.1590/S0074-02762000000500001; https://www.scielo.br/pdf/rimtsp/v51n2/06.pdf,4,,,,,,,,,,,,,,
Philander opossum,https://doi.org/10.1016/j.ijppaw.2014.08.004,1,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Phyllostomus discolor,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/25629729/,1,,,,,,,,,,,,,2021 review,1
Phyllostomus hastatus,https://doi.org/10.1017/S0031182017001500[Opens in a new window],1,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Phyllotis andium,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/S0035-9203(99)90163-3,3,,,,,,,,
Platyrrhinus lineatus,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Potos flavus,https://europepmc.org/article/med/2919726,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Proechimys canicollis,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/S0035-9203(98)91009-4,1
Proechimys cuvieri,,,,,,,https://agris.fao.org/agris-search/search.do?recordID=XE8530097,1,,,,,,,,,,,,,,,,,,,2021 review,1
Proechimys guyannensis,AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAr4wggK6BgkqhkiG9w0BBwagggKrMIICpwIBADCCAqAGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMKtO4yfieysL6EhDvAgEQgIICca9QJLvk69Ul2nxO,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Proechimys semispinosus,,,,,,,,,,,,,,,,,https://www.scielo.br/pdf/mioc/v97n6/4518.pdf,3,,,,,,,,,10.1590/S0074-02762002000600025,1
Pseudalopex vetulus,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1590/s0074-02762006000100019; 10.1016/j.vetpar.2008.04.024,1
Pteronotus parnellii,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Pteronotus personatus,,,,,,,,,,,,,https://doi.org/10.1371/journal.pntd.0003438,1,,,,,,,,,,,,,,
Puma concolor,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.trstmh.2009.08.003,1
Rattus norvegicus,,,https://doi.org/10.1016/j.vetpar.2011.06.019,2,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Rattus rattus,http://dx.doi.org/10.1590/s1984-29612017001,1,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0004137; https://doi.org/10.1371/journal.pone.0187704,4,,,,,,,,,https://www.scielo.br/pdf/mioc/v97n2/4363.pdf,3,,,,,,,,,,,,,10.1017/S0031182009991156,3
Reithrodontomys gracilis,,,,,,,,,,,,,https://doi.org/10.3390/ microorganisms9051101,4,,,,,,,,,,,,,,
Rhipidomys macrurus,,,https://doi-org.laneproxy.stanford.edu/10.1186/s13071-015-0780-y,1,,,,,,,,,,,,,,,,,,,,,,,,
Rhipidomys mastacalis,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.trstmh.2011.07.005,1
Saguinus geoffroyi,check ref from ill,3,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jmp.12441?saml_referrer,3,,,,,,,,,,,,,,,,,,,,,,,,
Sciurus aureogaster,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Sciurus vulgaris,https://doi.org/10.4269/ajtmh.1989.40.154; https://www.scielo.br/pdf/mioc/v94n1/3525.pdf,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigmodon hispidus,,,http://dx.doi.org/10.1590/S0074-02762002000200004; https://www.scielo.br/pdf/mioc/v97n2/4363.pdf,3,,,,,,,,,https://doi.org/10.4269/ajtmh.1995.53.141; http://dx.doi.org/10.1590/S0074-02762000000500001,4,,,,,,,,,,,,,,
Speothos venaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.trstmh.2007.10.001,3
Sturnira lilium,https://doi.org/10.1016/j.vetpar.2009.10.019,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Sturnira ludovici,,,,,,,,,,,,,https://doi.org/10.1371/journal.pntd.0003438,1,,,,,,,,,,,,,,
Sylvilagus brasiliensis,,,https://doi.org/10.3390/ microorganisms9051101,4,,,,,,,,,,,,,,,,,,,,,,,,
Tamandua mexicana,,,,,1,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/30770980/,1,,,,,,,,,,,,,,
Tamandua tetradactyla,https://link-springer-com.laneproxy.stanford.edu/article/10.1007/s00436-019-06253-6/tables/1,1,,,,,https://link-springer-com.laneproxy.stanford.edu/article/10.1007/s00436-019-06253-6/tables/1,3,,,,,,,,,,,,,,,,,,,https://doi.org/10.1017/S0031182012001886,1
Thrichomys apereoides,https://doi.org/10.1016/j.vetpar.2005.01.005,1,https://doi-org.laneproxy.stanford.edu/10.1016/j.trstmh.2011.07.005,1,,,https://doi-org.laneproxy.stanford.edu/10.1016/j.trstmh.2011.07.005,1,,,,,,,,,,,,,,,,,,,10.1016/j.trstmh.2011.07.005,1
Thrichomys fosteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrichomys inemis,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0535,1,,,,,,
Thrichomys laurentius,,,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000589,3,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0535,1,,,,,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0535,1,,,,,10.1371/journal.pntd.0000589,3
Thrichomys pachyurus,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0535,1,,,,,,,,,,,,
Urocyon cinereoargenteus,,,,,,,,,,,,,2021 review,1,,,,,,,,,,,,,,
